,NID,NUMCTRL,GLLID,FACEID,ix,iy,iz,x,y,z
185,0,216,68,1,4,1,6,2.431446018625415,0.0,0.6000000000000001
186,0,216,100,1,4,1,1,2.431446018625415,0.0,0.6000000000000001
187,0,216,100,1,4,1,2,2.431446018625415,0.0,0.6234944676070537
188,0,216,100,1,4,1,3,2.431446018625415,0.0,0.6714768483519356
189,0,216,100,1,4,1,4,2.431446018625415,0.0,0.7285231516480646
190,0,216,100,1,4,1,5,2.431446018625415,0.0,0.7765055323929466
191,0,216,100,1,4,1,6,2.431446018625415,0.0,0.8
192,0,216,68,1,5,1,1,2.591587214361459,0.0,0.4000000000000001
193,0,216,68,1,5,1,2,2.591587214361459,0.0,0.42349446760705384
194,0,216,68,1,5,1,3,2.591587214361459,0.0,0.4714768483519356
195,0,216,68,1,5,1,4,2.591587214361459,0.0,0.5285231516480647
196,0,216,68,1,5,1,5,2.591587214361459,0.0,0.5765055323929467
197,0,216,68,1,5,1,6,2.591587214361459,0.0,0.6000000000000002
198,0,216,100,1,5,1,1,2.591587214361459,0.0,0.6000000000000002
199,0,216,100,1,5,1,2,2.591587214361459,0.0,0.6234944676070537
200,0,216,100,1,5,1,3,2.591587214361459,0.0,0.6714768483519358
201,0,216,100,1,5,1,4,2.591587214361459,0.0,0.7285231516480647
202,0,216,100,1,5,1,5,2.591587214361459,0.0,0.7765055323929467
203,0,216,100,1,5,1,6,2.591587214361459,0.0,0.8000000000000002
204,0,216,68,1,6,1,1,2.67,0.0,0.4
205,0,216,68,1,6,1,2,2.67,0.0,0.4234944676070537
206,0,216,68,1,6,1,3,2.67,0.0,0.47147684835193554
207,0,216,68,1,6,1,4,2.67,0.0,0.5285231516480646
208,0,216,68,1,6,1,5,2.67,0.0,0.5765055323929467
209,0,216,68,1,6,1,6,2.67,0.0,0.6000000000000001
210,0,216,100,1,6,1,1,2.67,0.0,0.6000000000000001
211,0,216,100,1,6,1,2,2.67,0.0,0.6234944676070537
212,0,216,100,1,6,1,3,2.67,0.0,0.6714768483519356
213,0,216,100,1,6,1,4,2.67,0.0,0.7285231516480646
214,0,216,100,1,6,1,5,2.67,0.0,0.7765055323929466
215,0,216,100,1,6,1,6,2.67,0.0,0.8
216,1,216,65,1,1,1,1,0.0,0.0,0.4
217,1,216,65,1,1,1,2,0.0,0.0,0.4234944676070537
218,1,216,65,1,1,1,3,0.0,0.0,0.47147684835193554
219,1,216,65,1,1,1,4,0.0,0.0,0.5285231516480646
220,1,216,65,1,1,1,5,0.0,0.0,0.5765055323929467
221,1,216,65,1,1,1,6,0.0,0.0,0.6000000000000001
222,1,216,65,1,2,1,1,0.07841278563854105,0.0,0.4000000000000001
223,1,216,65,1,2,1,3,0.07841278563854105,0.0,0.47147684835193576
224,1,216,65,1,2,1,4,0.07841278563854105,0.0,0.5285231516480644
225,1,216,65,1,2,1,6,0.07841278563854105,0.0,0.6000000000000002
226,1,216,65,1,2,1,2,0.07841278563854107,0.0,0.423494467607054
227,1,216,65,1,2,1,5,0.07841278563854107,0.0,0.5765055323929467
228,1,216,65,1,3,1,1,0.23855398137458467,0.0,0.4
229,1,216,65,1,3,1,3,0.23855398137458467,0.0,0.47147684835193554
230,1,216,65,1,3,1,4,0.23855398137458467,0.0,0.5285231516480646
231,1,216,65,1,3,1,5,0.23855398137458467,0.0,0.5765055323929467
232,1,216,65,1,3,1,6,0.23855398137458467,0.0,0.6000000000000001
233,1,216,65,1,3,1,2,0.23855398137458475,0.0,0.4234944676070537
234,1,216,65,1,4,1,1,0.4289460186254153,0.0,0.4
235,1,216,65,1,4,1,3,0.4289460186254153,0.0,0.47147684835193554
236,1,216,65,1,4,1,4,0.4289460186254153,0.0,0.5285231516480646
237,1,216,65,1,4,1,5,0.4289460186254153,0.0,0.5765055323929467
238,1,216,65,1,4,1,6,0.4289460186254153,0.0,0.6000000000000001
239,1,216,65,1,4,1,2,0.4289460186254155,0.0,0.4234944676070537
240,1,216,65,1,5,1,1,0.5890872143614592,0.0,0.4000000000000001
241,1,216,65,1,5,1,2,0.5890872143614592,0.0,0.42349446760705384
242,1,216,65,1,5,1,3,0.5890872143614592,0.0,0.4714768483519356
243,1,216,65,1,5,1,4,0.5890872143614592,0.0,0.5285231516480647
244,1,216,65,1,5,1,5,0.5890872143614592,0.0,0.5765055323929467
245,1,216,65,1,5,1,6,0.5890872143614592,0.0,0.6000000000000002
246,1,216,65,1,6,1,1,0.6675,0.0,0.4
247,1,216,65,1,6,1,2,0.6675,0.0,0.4234944676070537
248,1,216,65,1,6,1,3,0.6675,0.0,0.47147684835193554
249,1,216,65,1,6,1,4,0.6675,0.0,0.5285231516480646
250,1,216,65,1,6,1,5,0.6675,0.0,0.5765055323929467
251,1,216,65,1,6,1,6,0.6675,0.0,0.6000000000000001
252,1,216,66,1,1,1,1,0.6675,0.0,0.4
253,1,216,66,1,1,1,2,0.6675,0.0,0.4234944676070537
254,1,216,66,1,1,1,3,0.6675,0.0,0.47147684835193554
255,1,216,66,1,1,1,4,0.6675,0.0,0.5285231516480646
256,1,216,66,1,1,1,5,0.6675,0.0,0.5765055323929467
257,1,216,66,1,1,1,6,0.6675,0.0,0.6000000000000001
258,1,216,66,1,2,1,1,0.7459127856385415,0.0,0.4000000000000001
259,1,216,66,1,2,1,2,0.7459127856385415,0.0,0.423494467607054
260,1,216,66,1,2,1,3,0.7459127856385415,0.0,0.47147684835193576
261,1,216,66,1,2,1,4,0.7459127856385415,0.0,0.5285231516480644
262,1,216,66,1,2,1,5,0.7459127856385415,0.0,0.5765055323929467
263,1,216,66,1,2,1,6,0.7459127856385415,0.0,0.6000000000000002
264,1,216,66,1,3,1,1,0.9060539813745847,0.0,0.4
265,1,216,66,1,3,1,3,0.9060539813745847,0.0,0.47147684835193554
266,1,216,66,1,3,1,4,0.9060539813745847,0.0,0.5285231516480646
267,1,216,66,1,3,1,6,0.9060539813745847,0.0,0.6000000000000001
268,1,216,66,1,3,1,5,0.9060539813745848,0.0,0.5765055323929467
269,1,216,66,1,3,1,2,0.9060539813745851,0.0,0.4234944676070537
270,1,216,66,1,4,1,1,1.0964460186254152,0.0,0.4
271,1,216,66,1,4,1,2,1.0964460186254152,0.0,0.4234944676070537
272,1,216,66,1,4,1,3,1.0964460186254152,0.0,0.47147684835193554
273,1,216,66,1,4,1,4,1.0964460186254152,0.0,0.5285231516480646
274,1,216,66,1,4,1,5,1.0964460186254152,0.0,0.5765055323929467
275,1,216,66,1,4,1,6,1.0964460186254152,0.0,0.6000000000000001
276,1,216,66,1,5,1,1,1.2565872143614587,0.0,0.4000000000000001
277,1,216,66,1,5,1,2,1.2565872143614587,0.0,0.42349446760705384
278,1,216,66,1,5,1,3,1.2565872143614587,0.0,0.4714768483519356
279,1,216,66,1,5,1,4,1.2565872143614587,0.0,0.5285231516480647
280,1,216,66,1,5,1,5,1.2565872143614587,0.0,0.5765055323929467
